# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.73350057313089556	-0.2638099304028626	-2.1635738261931472
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
incremental-md-incl-az-candidate	4	1	False	0.0003404473331676261	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	49.693507872178898	49.693507872178898	0.036345375549570361	2.0109485273156738	6535283.531471326	328657.49092142499	49.676320586905419	49.676320586905419	6535283.531471326	328657.49092142499	0.00094237411861033049	0.00093346561302054543	-0.0035575151091649104	1.7748719890920479
raw-covariance-spherical-candidate	4	2	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.4076653356	328656.7165467153	49.673806114579889	49.673806114579889	6535283.4076653356	328656.7165467153				
incremental-md-incl-az-candidate	4	2	False	8.2163313579464159E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	49.686588836222342	49.686588836222342	0.02063996103494924	3.1054826418195347	6535283.4076653356	328656.7165467153	49.673806114579889	49.673806114579889	6535283.4076653356	328656.7165467153	0.00045213868327502655	0.00039568511438214937	-0.010600356357404195	1.6831491297900945
raw-covariance-spherical-candidate	4	3	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.6739428202	328656.75780415133	51.871532044848507	51.871532044848507	6535283.6739428202	328656.75780415133				
incremental-md-incl-az-candidate	4	3	False	1.0914571843989584E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	51.881333446160077	51.881333446160077	0.0094975635695437096	2.8416277539999846	6535283.6739428202	328656.75780415133	51.871532044848507	51.871532044848507	6535283.6739428202	328656.75780415133	0.00029916774455181601	0.00021295015275573509	-0.022124692378655553	1.4291021925981506
raw-covariance-spherical-candidate	4	4	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.2706770645	328657.44164957298	49.676791476597629	49.676791476597629	6535283.2706770645	328657.44164957298				
incremental-md-incl-az-candidate	4	4	False	0.00041173920865400504	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	49.696907147657519	49.696907147657519	0.040533007841604629	2.2770889428535996	6535283.2706770645	328657.44164957298	49.676791476597629	49.676791476597629	6535283.2706770645	328657.44164957298	0.0009949369132497912	0.00097996921268397874	-0.0042428811271477684	1.9300518367168655
raw-covariance-spherical-candidate	4	5	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.5369545491	328657.48290700902	51.874517406866246	51.874517406866246	6535283.5369545491	328657.48290700902				
incremental-md-incl-az-candidate	4	5	False	0.00030314522716679004	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	51.891265265736969	51.891265265736969	0.034758405405441964	2.0013711724892911	6535283.5369545491	328657.48290700902	51.874517406866246	51.874517406866246	6535283.5369545491	328657.48290700902	0.00087102955931625374	0.0008624462155708279	-0.0035100616867289602	1.7651798724574492
raw-covariance-spherical-candidate	4	6	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.4131485587	328656.70853229932	51.872002934540717	51.872002934540717	6535283.4131485587	328656.70853229932				
incremental-md-incl-az-candidate	4	6	False	6.9033636257986863E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	51.884563123415205	51.884563123415205	0.019442743641846692	3.0977817155917373	6535283.4131485587	328656.70853229932	51.872002934540717	51.872002934540717	6535283.4131485587	328656.70853229932	0.0004132919860008369	0.00035627994795749129	-0.010774018227577287	1.6813636686737996
raw-covariance-spherical-candidate	4	7	False		50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068					6535283.2761602877	328657.43363515701	51.874988296558456	51.874988296558456	6535283.2761602877	328657.43363515701				
incremental-md-incl-az-candidate	4	7	False	0.00036121477513628708	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	51.894494545995073	51.894494545995073	0.038675785873774848	2.2688088490182494	6535283.2761602877	328657.43363515701	51.874988296558456	51.874988296558456	6535283.2761602877	328657.43363515701	0.00091641929759085671	0.00090174894192621147	-0.0042238305212993765	1.9209247666981066
incremental-md-incl-az-candidate-selected	4	0	True	1.080911182249622E-05	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	49.683189109572275	49.683189109572275	0.010192850544767292	2.8644210809458133	6535283.668459597	328656.76581856731	49.67333522488768	49.67333522488768	6535283.668459597	328656.76581856731	0.00031994738006259007	0.00023207880562436251	-0.021607697622894051	1.429164131398083
incremental-md-incl-az-selected	4		True	0.022159771997847747	50.780000000000001	0.012217304763960306	2.4870941840919194	6535283.4723099424	328657.09972686216	50.774161760723068	49.683189109572275	49.683189109572275	0.010192850544767292	2.8644210809458133	6535283.668459597	328656.76581856731	49.67333522488768	49.67333522488768	6535283.668459597	328656.76581856731	0.00031994738006259007	0.00023207880562436251	-0.021607697622894051	1.429164131398083
raw-covariance-spherical-candidate	5	0	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.7189300777	328658.06686079717	99.284095040719023	99.284095040719023	6535283.7189300777	328658.06686079717				
incremental-md-incl-az-candidate	5	0	False	0.0006650005533209713	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	99.316540920525625	99.316540920525625	0.051039739014886912	1.3366458194834236	6535283.7189300777	328658.06686079717	99.284095040719023	99.284095040719023	6535283.7189300777	328658.06686079717	0.0010399301882290434	0.0010194636367095999	-0.0040241315653055665	2.7311849274388935
raw-covariance-spherical-candidate	5	1	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535282.9302201802	328657.45568941854	99.285379705087792	99.285379705087792	6535282.9302201802	328657.45568941854				
incremental-md-incl-az-candidate	5	1	False	0.00046644150516017557	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	99.306756114996745	99.306756114996745	0.031999607702372285	2.2440116939509789	6535282.9302201802	328657.45568941854	99.285379705087792	99.285379705087792	6535282.9302201802	328657.45568941854	0.00049241846342599994	0.00047771266360463471	-0.0037332666510181411	2.4395696084085632
raw-covariance-spherical-candidate	5	2	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.9387485879	328657.78318667418	99.283728944152102	99.283728944152102	6535283.9387485879	328657.78318667418				
incremental-md-incl-az-candidate	5	2	False	0.00038632780021818913	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	99.309268725543603	99.309268725543603	0.043463385349361942	1.0743649443745256	6535283.9387485879	328657.78318667418	99.283728944152102	99.283728944152102	6535283.9387485879	328657.78318667418	0.00094206104479430586	0.00092045836189713626	-0.0046165489208549459	2.4818245721051397
raw-covariance-spherical-candidate	5	3	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.7238122569	328658.06680808036	102.25639207973663	102.25639207973663	6535283.7238122569	328658.06680808036				
incremental-md-incl-az-candidate	5	3	False	0.00056206002824621404	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	102.28762306277875	102.28762306277875	0.04817811971505815	1.3209490796712549	6535283.7238122569	328658.06680808036	102.25639207973663	102.25639207973663	6535283.7238122569	328658.06680808036	0.00093092384566888123	0.00091052721985715457	-0.0040241803043850055	2.7313306453395514
raw-covariance-spherical-candidate	5	4	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.1500386903	328657.17201529554	99.28501360852087	99.28501360852087	6535283.1500386903	328657.17201529554				
incremental-md-incl-az-candidate	5	4	False	0.00018763435399260509	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	99.299483194411664	99.299483194411664	0.017539280943409393	2.2555964192721234	6535283.1500386903	328657.17201529554	99.28501360852087	99.28501360852087	6535283.1500386903	328657.17201529554	0.00021913469273933856	0.00018496907717262256	-0.0066996414101794244	2.0877656942333944
raw-covariance-spherical-candidate	5	5	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535282.9351023594	328657.45563670172	102.2576767441054	102.2576767441054	6535282.9351023594	328657.45563670172				
incremental-md-incl-az-candidate	5	5	False	0.00039837284994492794	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	102.27825340929681	102.27825340929681	0.029609209711311126	2.2278436853359902	6535282.9351023594	328657.45563670172	102.2576767441054	102.2576767441054	6535282.9351023594	328657.45563670172	0.00042310835446298208	0.00040711617509889275	-0.0038921381802836663	2.4359719067873229
raw-covariance-spherical-candidate	5	6	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.9436307671	328657.78313395736	102.25602598316971	102.25602598316971	6535283.9436307671	328657.78313395736				
incremental-md-incl-az-candidate	5	6	False	0.00032609865853616693	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	102.28082413551192	102.28082413551192	0.041225534444395077	1.0567467852949426	6535283.9436307671	328657.78313395736	102.25602598316971	102.25602598316971	6535283.9436307671	328657.78313395736	0.00085038628132658698	0.00082923697673764618	-0.0045731001814486305	2.4830378314429753
raw-covariance-spherical-candidate	5	7	False		100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875					6535283.1549208695	328657.17196257872	102.25731064753847	102.25731064753847	6535283.1549208695	328657.17196257872				
incremental-md-incl-az-candidate	5	7	False	0.00016230814591888798	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	102.27145386660555	102.27145386660555	0.01596339458731413	2.2260251743281971	6535283.1549208695	328657.17196257872	102.25731064753847	102.25731064753847	6535283.1549208695	328657.17196257872	0.00018765954742175535	0.00014789578217828947	-0.0072363408942788254	2.0838968880931921
incremental-md-incl-az-candidate-selected	5	7	True	0.00016230814591888798	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	102.27145386660555	102.27145386660555	0.01596339458731413	2.2260251743281971	6535283.1549208695	328657.17196257872	102.25731064753847	102.25731064753847	6535283.1549208695	328657.17196257872	0.00018765954742175535	0.00014789578217828947	-0.0072363408942788254	2.0838968880931921
incremental-md-incl-az-selected	5		True	0.0075719488119302342	100.78	0.015707963267948967	1.0157816246606999	6535283.4369254736	328657.61941168795	100.77070284412875	102.27145386660555	102.27145386660555	0.01596339458731413	2.2260251743281971	6535283.1549208695	328657.17196257872	102.25731064753847	102.25731064753847	6535283.1549208695	328657.17196257872	0.00018765954742175535	0.00014789578217828947	-0.0072363408942788254	2.0838968880931921
raw-covariance-spherical-candidate	6	0	False		150.78	0.010471975511965976	3.0229102644541785	6535283.3838968202	328657.98416262225	150.7683121036805					6535283.6780270739	328657.38232342253	148.89567425970478	148.89567425970478	6535283.6780270739	328657.38232342253				
incremental-md-incl-az-candidate	6	0	False	0.00091726258449997822	150.78	0.010471975511965976	3.0229102644541785	6535283.3838968202	328657.98416262225	150.7683121036805	148.91715107068856	148.91715107068856	0.032362797978537958	6.1704841166754436	6535283.6780270739	328657.38232342253	148.89567425970478	148.89567425970478	6535283.6780270739	328657.38232342253	0.0009635061255227641	0.00093148727566966238	-0.0076126605510928869	2.6477158179202278
